interview_id,group,language_barrier,ucug_easier_than_ufug,stays_with_own_group,excluded_from_wechat,low_belonging,uni_insufficient,chinese_peer_introvert,mandarin_dominance,social_affects_grades,clubs_english_only,chinese_peers_avoid_english,non_gaokao_prep_gap,intl_comms_chinese_default,wants_structured_programs
intl_macao_yr2_smart,international,0,0,1,0,0,0,0,0,0,0,0,0,0,0
intl_macau_yr2_ai,international,1,1,1,1,1,1,0,0,1,1,1,0,0,0
intl_ca_erasyl,international,1,1,1,0,0,0,0,1,0,1,0,0,0,0
intl_ca_alisher,international,1,1,1,0,1,1,0,1,0,1,1,1,1,1
intl_kz_ramazan,international,1,1,1,1,1,1,1,1,1,1,1,1,0,1
intl_kz_kassymkhan,international,1,1,1,1,1,1,1,1,1,1,1,1,0,1
intl_italian_yr2,international,1,1,1,1,0,1,0,1,1,0,0,0,0,0
intl_indo_yr1_a,international,1,1,1,1,0,1,0,1,1,0,0,0,0,0
intl_indo_yr1_b,international,1,1,1,1,1,1,0,1,1,0,0,0,0,0
intl_indo_yr1_c,international,1,1,1,1,1,1,1,1,1,0,0,0,0,0
intl_indo_yr1_d,international,1,1,1,0,1,1,1,1,1,0,0,0,0,0
cn_yr1_01,mainland,1,0,1,0,0,1,0,0,0,0,0,0,0,0
cn_yr2_02,mainland,1,0,0,0,1,1,0,0,0,0,0,0,1,0
cn_yr2_03,mainland,1,0,1,0,0,1,0,0,0,0,0,0,0,0
cn_yr1_04,mainland,1,0,1,0,0,0,0,0,0,0,0,0,0,0
cn_ug3_male,mainland,1,0,1,0,1,1,0,0,0,0,0,0,0,0
cn_ug3_female_a,mainland,1,0,1,0,1,1,0,0,0,0,0,0,0,0
cn_ug3_female_b,mainland,1,0,1,0,0,1,0,0,0,0,0,0,0,0
cn_ug3_female_c,mainland,1,0,1,0,1,1,0,0,0,0,0,0,0,0
cn_younger_yr1,mainland,1,0,1,0,0,1,1,0,0,1,1,1,0,1
tw_ug3_male,hkmt,1,0,1,0,1,1,0,0,1,0,0,0,0,0
hkmt_hk_yr2_ai,hkmt,1,0,1,0,1,0,0,0,0,0,0,0,0,0
intl_my_yr2_ds,international,1,1,1,1,1,1,0,0,1,1,0,0,0,1
intl_in_yr2_ai,international,1,0,1,1,1,1,0,1,1,1,0,0,1,1
cn_yr2_ai_male,mainland,1,0,1,0,0,1,1,0,0,1,0,0,0,1
intl_my_yr2_smmg,international,1,1,1,1,1,1,0,1,1,1,0,0,1,1
intl_kz_yr1_ai_b,international,1,1,1,0,1,0,0,0,0,0,0,0,0,0
intl_kg_yr1_ds,international,1,1,1,0,0,0,0,1,1,0,1,0,0,1
intl_kz_yr1_undeclared,international,1,1,1,0,1,1,0,1,1,0,1,0,0,1
intl_kz_yr1_ds,international,1,1,1,1,1,1,0,1,1,0,1,1,1,1
